Customer_ID,Customer_Name,Age,Gender
1,"Dominic Cline",67,Female
2,"Crystal Day",42,Female
3,"Joseph Perez",31,Male
4,"Wyatt Love",37,Male
5,"Shannon Hoffman",24,Female
6,"Andrea Rodriguez",34,Female
7,"Scott Williams",22,Male
8,"Kathleen Quinn",66,Male
9,"Michael Wilcox",39,Female
10,"Thomas Carr",49,Female
11,"Alexander White",67,Male
12,"Rebecca Perez",31,Male
13,"Krystal Anderson",60,Male
14,"Alexis Hernandez",42,Male
15,"James Fisher",38,Male
16,"Ernest Brooks",67,Male
17,"John Brooks",32,Male
18,"Maurice French",52,Male
19,"Janet Rivers",37,Male
20,"Mike Parks DVM",42,Male
21,"Jeffrey Williams",20,Male
22,"Jennifer Rivera",40,Female
23,"Justin Smith",33,Female
24,"Emily Dunn",69,Female
25,"Nathan Coleman",18,Female
26,"Jason Thomas",50,Male
27,"Cory Buckley",45,Female
28,"Laura Walls",56,Male
29,"Karla Figueroa",54,Male
30,"Christina Little",33,Female
31,"Christina Woods",50,Male
32,"Jeremy Wise",39,Female
33,"Austin Shea",41,Male
34,"Heather King",57,Male
35,"Bobby Hubbard",65,Female
36,"Ronald Smith",38,Male
37,"James Thomas",52,Female
38,"Troy Cunningham",44,Female
39,"Taylor Townsend",36,Male
40,"William Hammond",32,Female
41,"Angel Williams",70,Female
42,"Jackie Fitzpatrick",22,Female
43,"Ian Rodriguez",60,Male
44,"Jeffrey Moreno",28,Female
45,"Travis Brady",70,Female
46,"Gregory Wilson",37,Female
47,"Kristi Harris",18,Female
48,"Jessica Miller",36,Female
49,"Jamie Rivas",63,Male
50,"Ashley Carpenter",38,Female
51,"Colleen Pace",18,Male
52,"Miranda Smith",58,Male
53,"Yolanda Campbell",23,Female
54,"Jennifer Matthews",28,Female
55,"Karen Ramirez",35,Male
56,"Sophia Butler",51,Female
57,"Andrew Gutierrez",31,Female
58,"Tara Nixon",59,Male
59,"Julie Price",39,Female
60,"James Bryant",24,Male
61,"Cynthia Young",33,Male
62,"Matthew Powers",19,Female
63,"Nicole Anderson",23,Male
64,"Jon Webb",38,Male
65,"Ann Bailey",32,Male
66,"Karen Figueroa",53,Female
67,"Kent Lane",62,Female
68,"John Sanders",48,Male
69,"Anthony Sanders",22,Male
70,"Justin Walker",38,Male
71,"Pamela Harmon",43,Female
72,"Kendra Ramirez",25,Male
73,"Pamela Wolf",68,Male
74,"Chad Parsons",59,Male
75,"Jacob Shaw",65,Male
76,"Samantha Baird",40,Male
77,"Autumn Williams",58,Male
78,"William Rodriguez",51,Female
79,"Ashley Banks",43,Female
80,"Douglas Adams",34,Female
81,"Bailey White",42,Male
82,"Christine Thompson",21,Female
83,"Beth Duran",24,Female
84,"Patrick Smith",49,Male
85,"Sandra Reese",27,Female
86,"Brittney Gardner",21,Male
87,"Amber Maldonado",46,Female
88,"Jessica Murphy",33,Male
89,"Stephen Cervantes",24,Male
90,"Jessica Rodriguez",27,Female
91,"Joseph May",54,Male
92,"Michele Johnson",58,Female
93,"Michael Lopez",51,Male
94,"Dr. Amanda Lindsey",38,Male
95,"Ashley Smith",63,Male
96,"Sonya Petersen",25,Female
97,"Todd Skinner",33,Female
98,"John Sexton",55,Female
99,"Rachel Evans",34,Male
100,"Maurice Miller",20,Female
