Customer_ID,Customer_Name,Revenue,percentile_rank,Customer_segment
39895,"Reginald Gonzales",50659,0,"High Value"
39717,"Joseph Kaiser",50496,0,"High Value"
48382,"Katelyn Clark",50179,0,"High Value"
6633,"Andre Spencer",48499,0,"High Value"
49743,"Bryan Gonzalez",47015,0,"High Value"
22821,"Larry Phillips",46939,0,"High Value"
24468,"Antonio Smith",46683,0,"High Value"
13805,"Timothy Proctor",46567,0,"High Value"
539,"Brad Sanford",46390,0,"High Value"
19960,"Patrick Gamble",46255,0,"High Value"
32869,"Sarah Garcia",46080,0,"High Value"
13400,"Jodi Moon",46057,0,"High Value"
14772,"Mrs. Holly Pope",45642,0,"High Value"
6347,"Lori Taylor",45481,0,"High Value"
26259,"Anthony Perez",45467,0,"High Value"
47165,"Kevin Willis",45258,0,"High Value"
12647,"Taylor Grant",44562,0,"High Value"
25102,"Charles Jackson",44522,0,"High Value"
35294,"Roberto Rogers",44449,0,"High Value"
28656,"Rachel Ross",44274,0,"High Value"
44509,"Devin Miller",44087,0,"High Value"
842,"Michelle Brooks",43977,0,"High Value"
45327,"Karen Rose",43875,0,"High Value"
43606,"Anna Francis",43713,0,"High Value"
12667,"Carla Perkins",43631,0,"High Value"
38915,"Joseph Matthews",43508,0,"High Value"
41595,"Matthew Trujillo",43489,0,"High Value"
31883,"Marc Phillips",43307,0,"High Value"
36332,"Sabrina Williams",43278,0,"High Value"
36907,"Gloria Stanley",43173,0,"High Value"
28034,"David Meyer",43135,0,"High Value"
41829,"Emily Bond",43093,0,"High Value"
43126,"Alicia Mcdaniel",43045,0,"High Value"
35495,"Megan Jenkins",43015,0,"High Value"
24051,"Courtney Gomez",42918,0,"High Value"
45089,"Richard Rose",42701,0,"High Value"
31347,"Robert Acosta",42515,0,"High Value"
14930,"Benjamin Mcintosh",42440,0,"High Value"
43416,"Shannon Houston",42407,0,"High Value"
25697,"Scott Anderson",42351,0,"High Value"
40922,"Brittany Wood",42055,0,"High Value"
42196,"Justin Ramirez",41781,0,"High Value"
19409,"Jeffrey Gonzalez",41683,0,"High Value"
6395,"Theresa Williams",41447,0,"High Value"
47925,"Mrs. Christine Beck",41257,0,"High Value"
8616,"Margaret Pennington",41157,0,"High Value"
12095,"Nicole Perkins",41061,0,"High Value"
13029,"Brandon White",40615,0,"High Value"
27209,"Jeffrey Levine",40575,0,"High Value"
25927,"Michael Johnson",40510,0,"High Value"
24327,"Veronica Murray",40402,0,"High Value"
24940,"Jesse Morales",40330,0,"High Value"
40930,"Michael Neal",40186,0,"High Value"
1035,"Bruce Leach",40125,0,"High Value"
15248,"Wesley Williams",40075,0,"High Value"
12317,"Rodney Robbins",40030,0,"High Value"
1962,"Andrea Wiggins",40016,0,"High Value"
34978,"James Adams",39995,0,"High Value"
33384,"Leonard Chandler",39988,0,"High Value"
44785,"Stephanie Lewis",39954,0,"High Value"
32864,"Angela Miller MD",39869,0,"High Value"
22670,"Amy Ramos",39863,0,"High Value"
44275,"Steven Riley",39832,0,"High Value"
8618,"Christopher Hoffman",39808,0,"High Value"
43972,"Joshua Morrow",39734,0,"High Value"
13433,"Jessica Poole",39720,0,"High Value"
18622,"Nicholas Hunt",39670,0,"High Value"
26846,"Daniel Hernandez",39588,0,"High Value"
5972,"Bryce Morris",39541,0,"High Value"
42911,"Kelly Chaney",39369,0,"High Value"
43417,"Nathan Huff",39349,0,"High Value"
30543,"Jeffrey Ward",39342,0,"High Value"
24778,"Garrett Robinson",39341,0,"High Value"
18578,"Jordan Hernandez",39332,0,"High Value"
10295,"John Dickerson",39243,0,"High Value"
6516,"Christopher Smith",39234,0,"High Value"
47626,"Cynthia Valdez",39180,0,"High Value"
34972,"Robert Russell",39055,0,"High Value"
9831,"Jeffrey Harrison",39047,0,"High Value"
44588,"Justin Cox",39003,0,"High Value"
43124,"Kyle Ross",38866,0,"High Value"
48838,"Mr. Brian Khan MD",38810,0,"High Value"
44664,"Jeffrey Evans",38728,0,"High Value"
6019,"Kim Wiley",38719,0,"High Value"
19130,"Tammy Riggs",38707,0,"High Value"
17333,"Emily Massey",38681,0,"High Value"
23540,"Alison Holland",38648,0,"High Value"
40024,"Troy Price",38593,0,"High Value"
29916,"Paul Hayes",38588,0,"High Value"
23358,"Zachary Benton",38569,0,"High Value"
1416,"Theresa Allen",38470,0,"High Value"
45301,"Adam Williams",38431,0,"High Value"
17101,"Laura Smith",38404,0,"High Value"
45636,"Steve Kidd",38390,0,"High Value"
2456,"Mary Barron",38343,0,"High Value"
7586,"Kathryn French",38327,0,"High Value"
29838,"Matthew Gentry",38296,0,"High Value"
49192,"Lisa Torres",38227,0,"High Value"
11931,"Alexander Smith",38220,0,"High Value"
23029,"Richard Meyers",38218,0,"High Value"
41924,"Rachel Johnson",38199,0,"High Value"
8922,"Alice Freeman",38182,0,"High Value"
1226,"Michelle Garrison DDS",38162,0,"High Value"
40451,"Rose Snyder",38157,0,"High Value"
21459,"Justin Hernandez",38116,0,"High Value"
40496,"Dustin Baker",38097,0,"High Value"
7178,"Robert Cervantes",38091,0,"High Value"
42694,"Monica Simon",38045,0,"High Value"
25530,"Roger Osborne",38031,0,"High Value"
36851,"Jessica Nelson",38007,0,"High Value"
43082,"Edward Wheeler",37998,0,"High Value"
19984,"Jason Valdez",37994,0,"High Value"
17106,"Joseph Kelley",37917,0,"High Value"
46267,"Tracy Gentry",37917,0,"High Value"
16362,"Dylan Williams",37897,0,"High Value"
25262,"Derek Ross",37783,0,"High Value"
4640,"Renee Ochoa",37771,0,"High Value"
35576,"Jason Watson",37756,0,"High Value"
38303,"Lauren Alexander",37751,0,"High Value"
9788,"Cody Bryan",37731,0,"High Value"
24847,"Christopher Frank",37694,0,"High Value"
47998,"Richard Scott",37645,0,"High Value"
26908,"Ashley Edwards",37597,0,"High Value"
22117,"Michael Morris",37592,0,"High Value"
26383,"Kendra Walker",37569,0,"High Value"
13197,"Patricia Leonard",37545,0,"High Value"
31394,"Sheryl Hernandez",37529,0,"High Value"
37332,"Kayla Fleming",37509,0,"High Value"
15611,"Jason Jones",37480,0,"High Value"
33118,"Lauren Larson",37473,0,"High Value"
37754,"Ann Robles",37459,0,"High Value"
9235,"Rebecca Mitchell",37459,0,"High Value"
30680,"Michele Fisher",37410,0,"High Value"
4567,"Melanie Wright",37392,0,"High Value"
14281,"Cody Ellison",37374,0,"High Value"
